பாலு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் கமல்ஹாசன் சுஜாதா மற்றும் பலரும் நடித்துள்ளனர்
பா,425,640
லு,640,695
இ,695,800
ய,800,960
க்,960,985
க,985,1120
த்,1120,1155
தி,1155,1355
ல்,1355,1475
வெ,1830,2035
ளி,2035,2135
வ,2135,2240
ந்,2240,2315
த,2315,2365
இ,2365,2530
த்,2530,2595
தி,2595,2650
ரை,2650,2790
ப்,2790,2845
ப,2845,2930
ட,2930,3040
த்,3040,3125
தி,3125,3260
ல்,3260,3395
க,3750,3885
ம,3885,4015
ல்,4015,4150
ஹா,4150,4295
ச,4295,4445
ன்,4445,4525
சு,4525,4710
ஜா,4710,4905
தா,4905,5110
ம,5115,5250
ற்,5250,5275
று,5275,5440
ம்,5440,5645
ப,5955,6070
ல,6070,6190
ரு,6190,6230
ம்,6230,6355
ந,6355,6500
டி,6500,6630
த்,6630,6690
து,6690,6795
ள்,6795,6880
ள,6880,6950
ன,6950,7045
ர்,7045,7085
