வஸந்தம் கஷ்டமோ இராஜகுமாரிகள் ராட்சஸிகள் விஷம் இராஜகுமாரிகளுக்கும்
வ,250,625
ஸ,625,730
ந்,730,780
த,780,890
ம்,890,930
க,930,1115
ஷ்,1115,1190
ட,1190,1330
மோ,1330,1470
இ,1470,1555
ரா,1555,1745
ஜ,1745,1925
கு,1925,2030
மா,2030,2130
ரி,2130,2340
க,2340,2485
ள்,2485,2585
ரா,2585,2705
ட்,2965,3045
ச,3045,3255
ஸி,3255,3415
க,3415,3630
ள்,3630,3760
வி,3760,3915
ஷ,4165,4255
ம்,4255,4345
இ,4345,4470
ரா,4470,4605
ஜ,4605,4715
கு,4715,4935
மா,4935,5030
ரி,5030,5125
க,5125,5330
ளு,5330,5470
க்,5470,5540
கு,5540,5585
ம்,5585,5645
