ஃபைல்கள் திரட்டப்பட்டுள்ளன ஜெயலலிதாவுக்குத் தரப்பட்ட சிகிச்சை குறித்த
ஃ,240,255
பை,255,665
ல்,665,725
க,725,910
ள்,910,1065
தி,1145,1485
ர,1485,1560
ட்,1560,1600
ட,1600,1725
ப்,1725,1765
ப,1765,1865
ட்,1865,1915
டு,1915,2040
ள்,2040,2055
ள,2055,2205
ன,2205,2450
ஜெ,2450,2935
ய,2935,3070
ல,3070,3180
லி,3180,3315
தா,3315,3465
வு,3465,3570
க்,3570,3585
கு,3585,3770
த்,3770,3805
த,3805,3985
ர,3985,4050
ப்,4050,4100
ப,4100,4190
ட்,4190,4245
ட,4245,4430
சி,4430,4635
கி,4635,4725
ச்,4725,4745
சை,4745,4980
கு,4980,5120
றி,5120,5210
த்,5210,5225
த,5225,5410
